canonical_name,category,min_price,max_price,savings_pct,num_listings,listing_ids,all_names
AirPods 4th Generation,אוזניות,468,579,19.2,3,"23,83,119",AirPods 4th Generation | אפל אירפודס 4 | Apple AirPods 4
Apple AirPods Pro (2nd Gen) USB-C,אוזניות,783,889,11.9,5,"25,26,35,42,64",אפל אירפודס פרו 2 | Apple AirPods Pro (2nd Gen) USB-C | Apple AirPods Pro 2 | אירפודז פרו 2 | AirPods Pro 2nd Generation
Samsung Galaxy Buds3 Pro,אוזניות,586,823,28.8,4,"6,85,101,124",Samsung Galaxy Buds3 Pro | Galaxy Buds 3 Pro | Samsung Buds 3 Pro | סמסונג גלקסי באדס 3 פרו
אוזניות JBL Tune 520BT,אוזניות,140,179,21.8,4,"43,44,50,53",JBL T520BT | ג'יי בי אל Tune 520BT | אוזניות JBL Tune 520BT | JBL Tune 520BT
אוזניות סוני WH-1000XM5 אלחוטיות,אוזניות,742,1343,44.8,8,"18,55,65,78,91,105,111,113",Sony WH-1000XM5 | אוזניות סוני WH-1000XM5 אלחוטיות | Sony WH1000XM5 Wireless | סוני WH-1000XM4 | סוני WH-1000XM5 | Sony WH-1000XM4 | Sony WH1000XM4 | Sony 1000XM5
Samsung Galaxy Tab S9 FE 128GB,טאבלטים,1419,1659,14.5,4,"81,87,107,130",סמסונג גלקסי טאב S9 FE 128GB | Samsung Galaxy Tab S9 FE 128GB | Galaxy Tab S9 FE 128 GB Wi-Fi | Samsung Tab S9 FE 128GB
אייפד 10.9 אינץ' דור עשירי 64GB,טאבלטים,1212,1398,13.3,4,"1,41,45,54","iPad 10th Generation 64 GB | אפל אייפד דור 10 64GB | Apple iPad 10.9"" 10th Gen 64GB | אייפד 10.9 אינץ' דור עשירי 64GB"
אייפד אייר 11 אינץ' M2 128 ג'יגה,טאבלטים,2452,2774,11.6,4,"28,72,96,109","Apple iPad Air 11"" M2 128GB | iPad Air M2 11 inch 128GB Wi-Fi | אייפד אייר 11 אינץ' M2 128 ג'יגה | אפל אייפד אייר 11 M2 128GB"
Hisense 50 inch 4K Smart TV,טלוויזיות,1246,1496,16.7,4,"4,34,74,114","הייסנס 50 אינץ' 4K | Hisense 50 inch 4K Smart TV | טלוויזיה הייסנס 50 אינץ 4K | Hisense 50A6K 50"" 4K"
Samsung 55 inch Crystal UHD 4K Smart TV,טלוויזיות,1844,2547,27.6,5,"9,46,71,80,100","Samsung UE55DU7100 Crystal UHD | סמסונג 55 אינץ' Crystal UHD 4K | טלוויזיה סמסונג 55 אינץ 4K | Samsung 55 inch Crystal UHD 4K Smart TV | Samsung 55"" Crystal UHD 4K"
טלוויזיה LG OLED C4 55 אינץ,טלוויזיות,4100,4787,14.4,3,"13,63,120","LG 55 אינץ' OLED C4 | LG OLED55C4 55"" | טלוויזיה LG OLED C4 55 אינץ"
טלוויזיה LG OLED C4 65 אינץ,טלוויזיות,4661,5598,16.7,4,"10,39,116,117","LG OLED C4 65"" 4K Smart TV | טלוויזיה LG OLED C4 65 אינץ | LG OLED65C4 65"" | LG 65 אינץ' OLED C4"
טלוויזיה סוני 65 אינץ Bravia X90L,טלוויזיות,3942,4982,20.9,4,"11,57,95,97","סוני בראוויה 65 אינץ' X90L | Sony XR-65X90L Bravia 4K | טלוויזיה סוני 65 אינץ Bravia X90L | Sony 65"" Bravia X90L"
ASUS VivoBook 15 X1504 i5 512GB,מחשבים ניידים,2067,2410,14.2,4,"3,48,67,99","ASUS VivoBook 15 X1504 i5 512GB | Asus Vivobook 15 Intel i5 15.6"" | אסוס ויוובוק 15 i5 | ASUS VivoBook X1504ZA i5 512GB"
"Apple MacBook Air 13"" M3 512GB",מחשבים ניידים,5132,5663,9.4,3,"15,76,108","MacBook Air M3 13 inch 512GB | אפל מקבוק אייר 13 M3 512GB | Apple MacBook Air 13"" M3 512GB"
"Apple MacBook Air 13.6"" M3 chip 8GB 256GB",מחשבים ניידים,4024,4747,15.2,5,"24,51,84,89,121","MacBook Air M3 13 inch 256GB | Apple MacBook Air 13.6"" M3 chip 8GB 256GB | אפל מקבוק אייר 13 M3 256GB | מקבוק אייר 13 אינץ' M3 256 ג'יגה | Apple MacBook Air 13"" M3 256GB"
Dell XPS 13 Plus Intel Core i7 13th Gen,מחשבים ניידים,5565,7183,22.5,4,"17,38,60,122",Dell XPS 13 Plus i7 512GB | דל XPS 13 פלוס i7 | DELL XPS13 Plus i7 512GB 16GB | Dell XPS 13 Plus Intel Core i7 13th Gen
"Lenovo IdeaPad 3 15.6"" Intel Core i5",מחשבים ניידים,2257,2994,24.6,4,"27,79,102,104","Lenovo IdeaPad 3 15.6"" Intel Core i5 | Lenovo IdeaPad Slim 3 15.6"" i5 512GB | לנובו אידיאפד סלים 3 15.6 אינץ i5 | לנובו IdeaPad Slim 3 15.6 אינץ'"
Bosch Series 8 9kg Washing Machine,מכונות כביסה,2942,3269,10.0,4,"58,59,61,115","Bosch Series 8 9kg Washing Machine | בוש מכונת כביסה 9 ק""ג | Bosch WAX32M40 9kg | מכונת כביסה בוש 9 קילו סדרה 8"
Samsung 8kg Washing Machine EcoBubble,מכונות כביסה,2005,2271,11.7,4,"19,37,47,77","Samsung WW80T534 8kg | מכונת כביסה סמסונג 8 קילו | Samsung 8kg Washing Machine EcoBubble | סמסונג מכונת כביסה 8 ק""ג"
"מכונת כביסה LG 9 ק""ג פתח קדמי",מכונות כביסה,2017,2535,20.4,4,"32,93,106,127","LG 9kg Washing Machine | LG F1209SMS 9KG Front Load | מכונת כביסה LG 9 ק""ג פתח קדמי | LG מכונת כביסה 9 קילו"
Apple iPhone 16 128GB,סלולר,2625,2958,11.3,2,"82,129",iPhone 16 128 GB | Apple iPhone 16 128GB
Apple iPhone 16 Pro 256GB,סלולר,4374,4465,2.0,2,"90,123",iPhone 16 Pro 256GB | Apple iPhone 16 Pro 256GB
Pixel 9 256 GB 8GB RAM,סלולר,2294,2589,11.4,4,"29,86,98,131",גוגל פיקסל 9 256GB | גוגל Pixel 9 256GB | Pixel 9 256 GB 8GB RAM | Google Pixel 9 256GB
SAMSUNG Galaxy S24 Ultra 256GB SM-S928B,סלולר,1815,4050,55.2,15,"2,5,7,8,12,62,66,68,73,88,94,110,118,126,128",סמסונג גלקסי S25 256GB | Samsung Galaxy S24 Ultra 512GB | סמסונג גלקסי S24 אולטרה 512GB | Samsung S25 256GB | Samsung S24 Ultra 256 GB | SAMSUNG Galaxy S24 Ultra 256GB SM-S928B | Galaxy S25 256 GB | Galaxy S24 Ultra 512GB | Galaxy S24 Ultra 256GB | סמסונג גלקסי S25 FE 256GB | Samsung Galaxy S24 Ultra 256GB | סמסונג גלקסי S24 אולטרה 256GB | Samsung Galaxy S25 256GB | Galaxy S25 FE 256GB | Samsung Galaxy S25 FE 256GB
Samsung A15 128GB SM-A155F,סלולר,474,666,28.8,4,"16,56,70,75",סמסונג גלקסי A15 128GB | Samsung A15 128GB SM-A155F | Samsung Galaxy A15 128GB | Galaxy A15 128 GB
Xiaomi 14T Pro 512 GB 12GB RAM,סלולר,1959,2148,8.8,4,"22,92,103,112",Xiaomi 14T Pro 512GB | Xiaomi 14T Pro 512 GB 12GB RAM | שיאומי 14T Pro 512GB | שיאומי 14T פרו 512GB
אפל אייפון 15 128 ג'יגה,סלולר,1906,2332,18.3,4,"14,40,49,69",iPhone 15 128GB | אייפון 15 128GB | Apple iPhone 15 128GB | אפל אייפון 15 128 ג'יגה
אפל אייפון 16 128 ג'יגה,סלולר,2829,4438,36.3,4,"20,21,33,52",אייפון 16 128GB | אפל אייפון 16 128 ג'יגה | אייפון 16 פרו 256GB | אייפון 16 פרו מקס 256GB
אפל אייפון 16 פרו מקס 256 ג'יגה,סלולר,4227,4816,12.2,4,"30,31,36,125",iPhone 16 Pro Max 256GB | אפל אייפון 16 פרו מקס 256 ג'יגה | Apple iPhone 16 Pro Max 256GB | APPLE iPhone 16 Pro Max 256GB
