product_id,product_name,price,category
1,iPad 10th Generation 64 GB,1285,טאבלטים
2,סמסונג גלקסי S25 256GB,2858,סלולר
3,ASUS VivoBook 15 X1504 i5 512GB,2410,מחשבים ניידים
4,הייסנס 50 אינץ' 4K,1433,טלוויזיות
5,Samsung Galaxy S24 Ultra 512GB,4050,סלולר
6,Samsung Galaxy Buds3 Pro,586,אוזניות
7,סמסונג גלקסי S24 אולטרה 512GB,4028,סלולר
8,Samsung S25 256GB,2732,סלולר
9,Samsung UE55DU7100 Crystal UHD,1844,טלוויזיות
10,"LG OLED C4 65"" 4K Smart TV",4661,טלוויזיות
11,סוני בראוויה 65 אינץ' X90L,4982,טלוויזיות
12,Samsung S24 Ultra 256 GB,3959,סלולר
13,LG 55 אינץ' OLED C4,4100,טלוויזיות
14,iPhone 15 128GB,2063,סלולר
15,MacBook Air M3 13 inch 512GB,5663,מחשבים ניידים
16,סמסונג גלקסי A15 128GB,541,סלולר
17,Dell XPS 13 Plus i7 512GB,7183,מחשבים ניידים
18,Sony WH-1000XM5,1337,אוזניות
19,Samsung WW80T534 8kg,2271,מכונות כביסה
20,אייפון 16 128GB,2829,סלולר
21,אפל אייפון 16 128 ג'יגה,2859,סלולר
22,Xiaomi 14T Pro 512GB,2148,סלולר
23,AirPods 4th Generation,579,אוזניות
24,MacBook Air M3 13 inch 256GB,4504,מחשבים ניידים
25,אפל אירפודס פרו 2,783,אוזניות
26,Apple AirPods Pro (2nd Gen) USB-C,807,אוזניות
27,"Lenovo IdeaPad 3 15.6"" Intel Core i5",2257,מחשבים ניידים
28,"Apple iPad Air 11"" M2 128GB",2452,טאבלטים
29,גוגל פיקסל 9 256GB,2304,סלולר
30,iPhone 16 Pro Max 256GB,4717,סלולר
31,אפל אייפון 16 פרו מקס 256 ג'יגה,4816,סלולר
32,LG 9kg Washing Machine,2122,מכונות כביסה
33,אייפון 16 פרו 256GB,4003,סלולר
34,Hisense 50 inch 4K Smart TV,1496,טלוויזיות
35,Apple AirPods Pro 2,886,אוזניות
36,Apple iPhone 16 Pro Max 256GB,4423,סלולר
37,מכונת כביסה סמסונג 8 קילו,2258,מכונות כביסה
38,דל XPS 13 פלוס i7,5565,מחשבים ניידים
39,טלוויזיה LG OLED C4 65 אינץ,5275,טלוויזיות
40,אייפון 15 128GB,1906,סלולר
41,אפל אייפד דור 10 64GB,1304,טאבלטים
42,אירפודז פרו 2,881,אוזניות
43,JBL T520BT,179,אוזניות
44,ג'יי בי אל Tune 520BT,154,אוזניות
45,"Apple iPad 10.9"" 10th Gen 64GB",1398,טאבלטים
46,סמסונג 55 אינץ' Crystal UHD 4K,2070,טלוויזיות
47,Samsung 8kg Washing Machine EcoBubble,2005,מכונות כביסה
48,"Asus Vivobook 15 Intel i5 15.6""",2067,מחשבים ניידים
49,Apple iPhone 15 128GB,2184,סלולר
50,אוזניות JBL Tune 520BT,168,אוזניות
51,"Apple MacBook Air 13.6"" M3 chip 8GB 256GB",4024,מחשבים ניידים
52,אייפון 16 פרו מקס 256GB,4438,סלולר
53,JBL Tune 520BT,140,אוזניות
54,אייפד 10.9 אינץ' דור עשירי 64GB,1212,טאבלטים
55,אוזניות סוני WH-1000XM5 אלחוטיות,951,אוזניות
56,Samsung A15 128GB SM-A155F,538,סלולר
57,Sony XR-65X90L Bravia 4K,4193,טלוויזיות
58,Bosch Series 8 9kg Washing Machine,3071,מכונות כביסה
59,"בוש מכונת כביסה 9 ק""ג",2946,מכונות כביסה
60,DELL XPS13 Plus i7 512GB 16GB,6146,מחשבים ניידים
61,Bosch WAX32M40 9kg,3269,מכונות כביסה
62,SAMSUNG Galaxy S24 Ultra 256GB SM-S928B,3481,סלולר
63,"LG OLED55C4 55""",4630,טלוויזיות
64,AirPods Pro 2nd Generation,889,אוזניות
65,Sony WH1000XM5 Wireless,1343,אוזניות
66,Galaxy S25 256 GB,2389,סלולר
67,אסוס ויוובוק 15 i5,2274,מחשבים ניידים
68,Galaxy S24 Ultra 512GB,3942,סלולר
69,אפל אייפון 15 128 ג'יגה,2332,סלולר
70,Samsung Galaxy A15 128GB,474,סלולר
71,טלוויזיה סמסונג 55 אינץ 4K,2547,טלוויזיות
72,iPad Air M2 11 inch 128GB Wi-Fi,2751,טאבלטים
73,Galaxy S24 Ultra 256GB,3225,סלולר
74,טלוויזיה הייסנס 50 אינץ 4K,1281,טלוויזיות
75,Galaxy A15 128 GB,666,סלולר
76,אפל מקבוק אייר 13 M3 512GB,5132,מחשבים ניידים
77,"סמסונג מכונת כביסה 8 ק""ג",2111,מכונות כביסה
78,סוני WH-1000XM4,832,אוזניות
79,"Lenovo IdeaPad Slim 3 15.6"" i5 512GB",2986,מחשבים ניידים
80,Samsung 55 inch Crystal UHD 4K Smart TV,2270,טלוויזיות
81,סמסונג גלקסי טאב S9 FE 128GB,1499,טאבלטים
82,iPhone 16 128 GB,2625,סלולר
83,אפל אירפודס 4,468,אוזניות
84,אפל מקבוק אייר 13 M3 256GB,4455,מחשבים ניידים
85,Galaxy Buds 3 Pro,823,אוזניות
86,גוגל Pixel 9 256GB,2589,סלולר
87,Samsung Galaxy Tab S9 FE 128GB,1582,טאבלטים
88,סמסונג גלקסי S25 FE 256GB,1815,סלולר
89,מקבוק אייר 13 אינץ' M3 256 ג'יגה,4370,מחשבים ניידים
